name,memo,owner,date,dateM,id,status,color
IPVV,?,Riley,Wed Feb 22 12:36:57 2017,?,29,1,?
FEM,?,Riley,Wed Feb 22 12:36:57 2017,?,30,1,?
GENP,?,Riley,Wed Feb 22 12:36:57 2017,?,31,1,?
NAPP,?,Riley,Wed Feb 22 12:36:57 2017,?,32,1,?
PRAC,?,Riley,Wed Feb 22 12:36:57 2017,?,33,1,?
YC,?,Riley,Wed Feb 22 12:36:57 2017,?,34,1,?
IPVP,?,Riley,Wed Feb 22 12:36:57 2017,?,35,1,?
MAL,?,Riley,Wed Feb 22 12:36:57 2017,?,36,1,?
PRNT,?,Riley,Wed Feb 22 12:36:57 2017,?,37,1,?
PRG,?,Riley,Wed Feb 22 12:36:57 2017,?,38,1,?
LAT,?,Riley,Wed Feb 22 12:36:57 2017,?,39,1,?
AA,?,Riley,Wed Feb 22 12:36:57 2017,?,40,1,?
SYS,?,Riley,Wed Feb 22 12:36:57 2017,?,41,1,?
PRACIPV,?,Riley,Wed Feb 22 12:36:57 2017,?,42,1,?
SM,?,Riley,Wed Feb 22 12:36:57 2017,?,43,1,?
GM,?,Riley,Wed Feb 22 12:36:57 2017,?,44,1,?
RM,?,Riley,Wed Feb 22 12:36:57 2017,?,45,1,?
DA,?,Riley,Wed Feb 22 12:36:57 2017,?,46,1,?
CLG,?,Riley,Wed Feb 22 12:36:57 2017,?,47,1,?
SMQ,?,Riley,Wed Feb 22 12:36:57 2017,?,48,1,?
SML,?,Riley,Wed Feb 22 12:36:57 2017,?,49,1,?
HET,?,Riley,Wed Feb 22 12:36:57 2017,?,50,1,?
GRD,?,Riley,Wed Feb 22 12:36:57 2017,?,51,1,?
SMG,?,Riley,Wed Feb 22 12:36:57 2017,?,52,1,?
CPL,?,Riley,Wed Feb 22 12:36:57 2017,?,53,1,?
SMT,?,Riley,Wed Feb 22 12:36:57 2017,?,54,1,?
CIS,?,Riley,Wed Feb 22 12:36:57 2017,?,55,1,?
ASA,?,Riley,Wed Feb 22 12:36:57 2017,?,56,1,?
SMB,?,Riley,Wed Feb 22 12:36:57 2017,?,57,1,?
CRMV,?,Riley,Wed Feb 22 12:36:57 2017,?,58,1,?
AR,?,Riley,Wed Feb 22 12:36:57 2017,?,59,1,?
URBN,?,Riley,Wed Feb 22 12:36:57 2017,?,60,1,?
