name,memo,owner,date,dateM,id,status,color
RF,?,Riley,Wed Feb 22 12:36:57 2017,?,1,1,?
PREVL,?,Riley,Wed Feb 22 12:36:57 2017,?,2,1,?
HS,?,Riley,Wed Feb 22 12:36:57 2017,?,3,1,?
DYN,?,Riley,Wed Feb 22 12:36:57 2017,?,4,1,?
PCHR,?,Riley,Wed Feb 22 12:36:57 2017,?,5,1,?
CTXT,?,Riley,Wed Feb 22 12:36:57 2017,?,6,1,?
PERSP-V,?,Riley,Wed Feb 22 12:36:57 2017,?,7,1,?
PERSP-O,?,Riley,Wed Feb 22 12:36:57 2017,?,8,1,?
INTV,?,Riley,Wed Feb 22 12:36:57 2017,?,9,1,?
CCR,?,Riley,Wed Feb 22 12:36:57 2017,?,10,1,?
CCAP,?,Riley,Wed Feb 22 12:36:57 2017,?,11,1,?
CONSQ,?,Riley,Wed Feb 22 12:36:57 2017,?,12,1,?
PF,?,Riley,Wed Feb 22 12:36:57 2017,?,13,1,?
PERSP-SH,?,Riley,Wed Feb 22 12:36:57 2017,?,14,1,?
MEAS,?,Riley,Wed Feb 22 12:36:57 2017,?,15,1,?
SYSR,?,Riley,Wed Feb 22 12:36:57 2017,?,16,1,?
PEVAL,?,Riley,Wed Feb 22 12:36:57 2017,?,17,1,?
INTV-EFF,?,Riley,Wed Feb 22 12:36:57 2017,?,18,1,?
INTF-PROP,?,Riley,Wed Feb 22 12:36:57 2017,?,19,1,?
PDEV,?,Riley,Wed Feb 22 12:36:57 2017,?,20,1,?
PLCY,?,Riley,Wed Feb 22 12:36:57 2017,?,21,1,?
MTHDS-EV,?,Riley,Wed Feb 22 12:36:57 2017,?,22,1,?
INTV-DESC,?,Riley,Wed Feb 22 12:36:57 2017,?,23,1,?
SCR,?,Riley,Wed Feb 22 12:36:57 2017,?,24,1,?
APEVAL,?,Riley,Wed Feb 22 12:36:57 2017,?,25,1,?
CCR,?,Riley,Wed Feb 22 12:36:57 2017,?,26,1,?
PERSP-V,?,Riley,Wed Feb 22 12:36:57 2017,?,27,1,?
SYSR,?,Riley,Wed Feb 22 12:36:57 2017,?,28,1,?
