"","selFirst","selEnd"
"1",81074,83337
"2",83339,85118
"3",85120,86764
"4",86766,89170
"5",89172,91100
"6",91102,93867
"7",93869,95715
"8",95717,97500
"9",97502,99907
"10",99909,101946
"11",101948,103619
"12",103621,105344
"13",105346,106965
"14",106967,109106
"15",109108,110879
"16",110881,113031
"17",113033,114441
"18",114443,115769
"19",115771,117157
"20",117159,119174
"21",119176,120796
"22",120798,122078
"23",122080,123574
"24",125328,127604
"25",127606,129406
"26",129408,131376
"27",131378,133021
"28",133023,134888
"29",134890,137058
"30",137060,138969
"31",138971,139904
"32",139906,141808
"33",141810,143900
"34",143902,145586
"35",145588,147288
"36",147290,148986
"37",148988,150201
"38",150203,151867
"39",151869,153298
"40",153300,154273
"41",154275,155047
"42",155049,156014
"43",156016,158008
"44",158010,159394
"45",159396,161570
"46",161572,162798
"47",162800,164314
"48",164316,165557
"49",165559,167671
"50",167673,169471
"51",169473,170725
"52",170727,171637
"53",171639,172551
"54",172553,173603
"55",173605,174988
"56",174990,176310
"57",176312,177678
"58",177680,179046
"59",179048,180439
"60",180441,182018
"61",182020,183392
"62",183394,184479
"63",184481,185919
"64",185921,187046
"65",187048,188553
