"caseid","bibkey","scat","code","selfirst","selend"
9,"boal2014impact","S3","QTDESC",17959,20780
9,"boal2014impact","S3","MANOVA",17959,20780
9,"boal2014impact","S3","MLTV",17959,20780
9,"boal2014impact","S3","ANOVA",17959,20780
9,"boal2014impact","S3","QTDESC",17959,20780
9,"boal2014impact","S3","MANOVA",17959,20780
9,"boal2014impact","S3","MLTV",17959,20780
9,"boal2014impact","S3","ANOVA",17959,20780
23,"contrino2007compliance","S3","QTDESC",45819,48172
23,"contrino2007compliance","S3","CORR",45819,48172
23,"contrino2007compliance","S3","TTEST",45819,48172
16,"enriquez2010development","S3","QTDESC",33159,35143
16,"enriquez2010development","S3","TTEST",33159,35143
16,"enriquez2010development","S3","THMA",33159,35143
8,"ermentrout2014this","S3","GT-QL",16329,17957
8,"ermentrout2014this","S3","THMA",16329,17957
15,"feder2011need","S3","NOTAPPLICABLE",31669,33157
28,"foshee2004assessing","S3","OR",55562,57701
28,"foshee2004assessing","S3","CORR",55562,57701
28,"foshee2004assessing","S3","MLTV",55562,57701
28,"foshee2004assessing","S3","LGR",55562,57701
28,"foshee2004assessing","S3","MOD",55562,57701
20,"gillum2008benefits","S3","CNTA",40875,42637
20,"gillum2008benefits","S3","GT-QL",40875,42637
20,"gillum2008benefits","S3","THMA",40875,42637
20,"gillum2008benefits","S3","XCASE",40875,42637
35,"gondolf1999comparison","S3","QTDESC",69109,71029
35,"gondolf1999comparison","S3","X2D",69109,71029
35,"gondolf1999comparison","S3","LGR",69109,71029
30,"gregory2002effects","S3","CNTA",59699,61313
25,"hendricks2006recidivism","S3","QTDESC",50125,51808
25,"hendricks2006recidivism","S3","ANOVA",50125,51808
25,"hendricks2006recidivism","S3","X2D",50125,51808
25,"hendricks2006recidivism","S3","TTEST",50125,51808
26,"hovell2006evaluation","S3","X2D",51810,53440
26,"hovell2006evaluation","S3","OR",51810,53440
26,"hovell2006evaluation","S3","QTDESC",51810,53440
7,"howell2015strengthening","S3","QTDESC",14011,16327
7,"howell2015strengthening","S3","CORR",14011,16327
7,"howell2015strengthening","S3","MULTV",14011,16327
7,"howell2015strengthening","S3","LNR",14011,16327
11,"kan2014can","S3","MLM",22707,24689
11,"kan2014can","S3","MLTV",22707,24689
11,"kan2014can","S3","MEM",22707,24689
11,"kan2014can","S3","MOD",22707,24689
24,"muftic2007evaluation","S3","QTDESC",48174,50123
24,"muftic2007evaluation","S3","X2D",48174,50123
24,"muftic2007evaluation","S3","TTEST",48174,50123
24,"muftic2007evaluation","S3","LGR",48174,50123
13,"portwood2011evaluation","S3","QTDESC",27051,29855
13,"portwood2011evaluation","S3","MLM",27051,29855
13,"portwood2011evaluation","S3","ANOVA",27051,29855
13,"portwood2011evaluation","S3","PHCOMP",27051,29855
13,"portwood2011evaluation","S3","THMA",27051,29855
14,"potter2011bringing","S3","QTDESC",29857,31667
14,"potter2011bringing","S3","TTEST",29857,31667
14,"potter2011bringing","S3","OLSRG",29857,31667
14,"potter2011bringing","S3","X2D",29857,31667
14,"potter2011bringing","S3","ANOVA",29857,31667
14,"potter2011bringing","S3","CNTA",29857,31667
18,"price2009batterer","S3","QTDESC",37249,38956
21,"roffman2008mens","S3","QTDESC",42639,44404
37,"rumptz1991ecological","S3","QTDESC",72217,73937
2,"sargent2016evaluating","S3","QTDESC",4722,6544
2,"sargent2016evaluating","S3","TTEST",4722,6544
2,"sargent2016evaluating","S3","X2D",4722,6544
2,"sargent2016evaluating","S3","ANOVA",4722,6544
2,"sargent2016evaluating","S3","MOD",4722,6544
27,"silvergleid2006batterer","S3","GT-QL",53442,55560
