"","caseid","selfirst","selend","name","id"
"1",1,1737,4720,"IPVV",28
"2",2,4722,6544,"GENP",30
"3",3,6546,8773,"IPVV",28
"4",5,10271,12246,"PRAC",32
"5",6,12248,14009,"IPVP",34
"6",7,14011,16327,"IPVV",28
"7",8,16329,17957,"YC",33
"8",9,17959,20780,"PRG",37
"9",10,20782,22705,"PRG",37
"10",12,24691,27049,"IPVP",34
"11",13,27051,29855,"PRNT",36
"12",14,29857,31667,"GENP",30
"13",15,31669,33157,"PRAC",32
"14",16,33159,35143,"F",29
"15",17,35145,37247,"LAT",38
"16",18,37249,38956,"PRG",37
"17",20,40875,42637,"AA",39
"18",21,42639,44404,"IPVP",34
"19",23,45819,48172,"IPVP",34
"20",24,48174,50123,"IPVP",34
"21",25,50125,51808,"IPVP",34
"22",26,51810,53440,"IPVP",34
"23",27,53442,55560,"IPVP",34
"24",28,55562,57701,"YC",33
"25",29,57703,39697,"YC",33
"26",30,59699,61313,"IPVV",28
"27",31,61315,63457,"IPVP",34
"28",33,64926,67124,"PRAC",32
"29",34,67126,69107,"SYS",40
"30",35,69109,71029,"IPVP",34
"31",37,72217,73937,"IPVV",28
"32",38,73939,75437,"PRG",37
"33",1,1737,4720,"F",29
"34",5,10271,12246,"YC",33
"35",6,12248,14009,"M",35
"36",7,14011,16327,"F",29
"37",8,16329,17957,"PRNT",36
"38",12,24691,27049,"M",35
"39",17,35145,37247,"IPVP",34
"40",20,40875,42637,"IPVV",28
"41",21,42639,44404,"M",35
"42",23,45819,48172,"M",35
"43",24,48174,50123,"M",35
"44",29,57703,39697,"PRNT",36
"45",31,61315,63457,"PRG",37
"46",33,64926,67124,"SYS",40
"47",34,67126,69107,"PRAC",32
"48",35,69109,71029,"M",35
"49",37,72217,73937,"F",29
"50",38,73939,75437,"IPVP",34
"51",8,16329,17957,"F",29
"52",17,35145,37247,"M",35
"53",20,40875,42637,"F",29
"54",24,48174,50123,"F",29
"55",29,57703,39697,"F",29
"56",38,73939,75437,"M",35
"57",8,16329,17957,"PRG",37
"58",38,73939,75437,"SYS",40
