"id","selfirst","selend","name"
42,"81074.0","83337.0","SML",48
42,"81074.0","83337.0","F",29
43,"83339.0","85118.0","CPL",52
43,"83339.0","85118.0","F",29
43,"83339.0","85118.0","SML",48
44,"85120.0","86764.0","SML",48
44,"85120.0","86764.0","F",29
45,"86766.0","89170.0","YC",33
45,"86766.0","89170.0","SM",42
46,"89172.0","91100.0","SML",48
46,"89172.0","91100.0","SMQ",47
46,"89172.0","91100.0","ASA",55
46,"89172.0","91100.0","RM",44
46,"89172.0","91100.0","F",29
47,"91102.0","93867.0","DA",45
47,"91102.0","93867.0","RM",44
47,"91102.0","93867.0","SM",42
47,"91102.0","93867.0","CLG",46
49,"95717.0","97500.0","SML",48
49,"95717.0","97500.0","SMB",56
49,"95717.0","97500.0","PRNT",36
49,"95717.0","97500.0","F",29
50,"97502.0","99907.0","SML",48
50,"97502.0","99907.0","PRNT",36
50,"97502.0","99907.0","F",29
52,"101948.0","103619.0","PRACIPV",41
53,"103621.0","105344.0","F",29
53,"103621.0","105344.0","SML",48
54,"105346.0","106965.0","AR",58
54,"105346.0","106965.0","SML",48
54,"105346.0","106965.0","SMG",51
55,"106967.0","109106.0","IPVV",28
56,"109108.0","110879.0","CLG",46
57,"110881.0","113031.0","F",29
57,"110881.0","113031.0","SML",48
59,"114443.0","115769.0","IPVV",28
59,"114443.0","115769.0","SML",48
59,"114443.0","115769.0","F",29
59,"114443.0","115769.0","PRACIPV",41
60,"115771.0","117157.0","SML",48
60,"115771.0","117157.0","F",29
60,"115771.0","117157.0","HET",49
61,"117159.0","119174.0","GRD",50
61,"117159.0","119174.0","PRAC",32
62,"119176.0","120796.0","SML",48
62,"119176.0","120796.0","F",29
66,"127606.0","129406.0","CLG",46
66,"127606.0","129406.0","F",29
66,"127606.0","129406.0","HET",49
67,"129408.0","131376.0","CLG",46
68,"131378.0","133021.0","CIS",54
68,"131378.0","133021.0","SMT",53
68,"131378.0","133021.0","SM",42
69,"133023.0","134888.0","SM",42
69,"133023.0","134888.0","IPVV",28
69,"133023.0","134888.0","CLG",46
70,"134890.0","137058.0","AA",39
70,"134890.0","137058.0","M",35
70,"134890.0","137058.0","CPL",52
70,"134890.0","137058.0","SMG",51
70,"134890.0","137058.0","RM",44
71,"137060.0","138969.0","CLG",46
71,"137060.0","138969.0","SM",42
73,"139906.0","141808.0","YC",33
73,"139906.0","141808.0","SMG",51
73,"139906.0","141808.0","M",35
74,"141810.0","143900.0","F",29
74,"141810.0","143900.0","SML",48
75,"143902.0","145586.0","F",29
76,"145588.0","147288.0","ASA",55
76,"145588.0","147288.0","M",35
76,"145588.0","147288.0","SMG",51
76,"145588.0","147288.0","RM",44
77,"147290.0","148986.0","M",35
77,"147290.0","148986.0","SMB",56
77,"147290.0","148986.0","HET",49
77,"147290.0","148986.0","SMG",51
78,"148988.0","150201.0","SMG",51
78,"148988.0","150201.0","M",35
78,"148988.0","150201.0","SMB",56
81,"153300.0","154273.0","GENP",30
83,"155049.0","156014.0","YC",33
83,"155049.0","156014.0","SM",42
85,"158010.0","159394.0","SML",48
85,"158010.0","159394.0","SMG",51
86,"159396.0","161570.0","GENP",30
87,"161572.0","162798.0","SM",42
88,"162800.0","164314.0","CRMV",57
89,"164316.0","165557.0","IPVV",28
90,"165559.0","167671.0","YC",33
91,"167673.0","169471.0","F",29
91,"167673.0","169471.0","CPL",52
91,"167673.0","169471.0","IPVV",28
91,"167673.0","169471.0","SML",48
92,"169473.0","170725.0","IPVP",34
92,"169473.0","170725.0","AR",58
92,"169473.0","170725.0","YC",33
93,"170727.0","171637.0","SML",48
93,"170727.0","171637.0","IPVV",28
93,"170727.0","171637.0","F",29
94,"171639.0","172551.0","IPVP",34
97,"174990.0","176310.0","F",29
97,"174990.0","176310.0","IPVP",34
97,"174990.0","176310.0","SML",48
98,"176312.0","177678.0","YC",33
99,"177680.0","179046.0","PRAC",32
99,"177680.0","179046.0","SYS",40
102,"182020.0","183392.0","SML",48
102,"182020.0","183392.0","F",29
102,"182020.0","183392.0","IPVV",28
103,"183394.0","184479.0","URBN",59
103,"183394.0","184479.0","HET",49
103,"183394.0","184479.0","IPVV",28
103,"183394.0","184479.0","SM",42
104,"184481.0","185919.0","YC",33
105,"185921.0","187046.0","SYS",40
106,"187048.0","188553.0","F",29
106,"187048.0","188553.0","SMB",56
106,"187048.0","188553.0","SML",48
