caseid,casename,scat,selfirst,selend
42,"lewis2017empirical","S4",81074.0,83337.0
43,"kelley2015discrepant","S4",83339.0,85118.0
44,"lewis2015emotional","S4",85120.0,86764.0
45,"reuter2015exploratory","S4",86766.0,89170.0
46,"kanuha2013relationships","S4",89172.0,91100.0
47,"porter2011intimate","S4",91102.0,93867.0
48,"klostermann2011alcoholism","S4",93869.0,95715.0
49,"hardesty2011lesbian/bisexual","S4",95717.0,97500.0
50,"oswald2010lesbian","S4",97502.0,99907.0
51,"pierre2010external","S4",99909.0,101946.0
52,"brown2009perceptions","S4",101948.0,103619.0
53,"eaton2008examining","S4",103621.0,105344.0
54,"mckenry2006perpetration","S4",105346.0,106965.0
55,"heintz2006intimate","S4",106967.0,109106.0
56,"seelau2005gender-role","S4",109108.0,110879.0
57,"fortunata2003demographic","S4",110881.0,113031.0
58,"worcester2002womens","S4",113033.0,114441.0
59,"giorgio2002speaking","S4",114443.0,115769.0
60,"bernhard2000physical","S4",115771.0,117157.0
61,"wise1997comparison","S4",117159.0,119174.0
62,"lockhart1994letting","S4",119176.0,120796.0
63,"hamberger1994domestic","S4",120798.0,122078.0
64,"coleman1994lesbian","S4",122080.0,123574.0
65,"babcock2016domestic","S4",125328.0,127604.0
66,"dixon2016association","S4",127606.0,129406.0
67,"edwards2016college","S4",129408.0,131376.0
68,"langenderfer-magruder2016experiences","S4",131378.0,133021.0
69,"sylaska2015disclosure","S4",133023.0,134888.0
70,"wu2015association","S4",134890.0,137058.0
71,"edwards2015physical","S4",137060.0,138969.0
72,"witte2015perceived","S4",138971.0,139904.0
73,"kubicek2015same-sex","S4",139906.0,141808.0
74,"lewis2014sexual","S4",141810.0,143900.0
75,"milletich2014predictors","S4",143902.0,145586.0
76,"tran2014prevalence","S4",145588.0,147288.0
77,"mustanski2014syndemic","S4",147290.0,148986.0
78,"finneran2014antecedents","S4",148988.0,150201.0
79,"frankland2014coercive","S4",150203.0,151867.0
80,"chong2013risk","S4",151869.0,153298.0
81,"goldberg2013sexual","S4",153300.0,154273.0
82,"witte2013social","S4",154275.0,155047.0
83,"gillum2012there","S4",155049.0,156014.0
84,"nowinski2012partner","S4",156016.0,158008.0
85,"carvalho2011internalized","S4",158010.0,159394.0
86,"davidovic2011impelling","S4",159396.0,161570.0
87,"messinger2011invisible","S4",161572.0,162798.0
88,"iverson2011contribution","S4",162800.0,164314.0
89,"ackerman2011gender","S4",164316.0,165557.0
90,"edelen2009measurement","S4",165559.0,167671.0
91,"glass2008risk","S4",167673.0,169471.0
92,"bossarte2008clustering","S4",169473.0,170725.0
93,"hassouneh2008influence","S4",170727.0,171637.0
94,"sorenson2005restraining","S4",171639.0,172551.0
95,"mcclennen2005domestic","S4",172553.0,173603.0
96,"carlson2005most","S4",173605.0,174988.0
97,"glass2004female-perpetrated","S4",174990.0,176310.0
98,"mccloskey2003contribution","S4",176312.0,177678.0
99,"younglove2002law","S4",177680.0,179046.0
100,"barnes2013survivor","S4",179048.0,180439.0
101,"valentine2013finding","S4",180441.0,182018.0
102,"alhusen2010perceptions","S4",182020.0,183392.0
103,"blosnich2009comparisons","S4",183394.0,184479.0
104,"swahn2008measuring","S4",184481.0,185919.0
105,"pattavina2007comparison","S4",185921.0,187046.0
106,"balsam2005relationship","S4",187048.0,188553.0
