"","caseid","bibkey","selfirst","selend","scat"
"1",106,"balsam2005relationship",187048,188553,"S4"
"2",103,"blosnich2009comparisons",183394,184479,"S4"
"3",10,"boal2014barriers",20782,22705,"S3"
"4",9,"boal2014impact",17959,20780,"S3"
"5",23,"contrino2007compliance",45819,48172,"S3"
"6",67,"edwards2016college",129408,131376,"S4"
"7",16,"enriquez2010development",33159,35143,"S3"
"8",8,"ermentrout2014this",16329,17957,"S3"
"9",15,"feder2011need",31669,33157,"S3"
"10",28,"foshee2004assessing",55562,57701,"S3"
"11",20,"gillum2008benefits",40875,42637,"S3"
"12",91,"glass2008risk",167673,169471,"S4"
"13",35,"gondolf1999comparison",69109,71029,"S3"
"14",30,"gregory2002effects",59699,61313,"S3"
"15",25,"hendricks2006recidivism",50125,51808,"S3"
"16",26,"hovell2006evaluation",51810,53440,"S3"
"17",7,"howell2015strengthening",14011,16327,"S3"
"18",11,"kan2014can",22707,24689,"S3"
"19",74,"lewis2014sexual",141810,143900,"S4"
"20",24,"muftic2007evaluation",48174,50123,"S3"
"21",77,"mustanski2014syndemic",147290,148986,"S4"
"22",50,"oswald2010lesbian",97502,99907,"S4"
"23",13,"portwood2011evaluation",27051,29855,"S3"
"24",14,"potter2011bringing",29857,31667,"S3"
"25",18,"price2009batterer",37249,38956,"S3"
"26",21,"roffman2008mens",42639,44404,"S3"
"27",37,"rumptz1991ecological",72217,73937,"S3"
"28",2,"sargent2016evaluating",4722,6544,"S3"
"29",27,"silvergleid2006batterer",53442,55560,"S3"
"30",29,"sullivan2002findings",57703,39697,"S3"
"31",69,"sylaska2015disclosure",133023,134888,"S4"
"32",33,"thompson2000identification",64926,67124,"S3"
"33",17,"welland2010culturally",35145,37247,"S3"
